# パラメータによる座標・標高補正ソフトウェア PatchJGD HV Ver.1.1.0.0
# 入力ファイル名: input.txt
# 補正区分: 標高成分のみ
# パラメータファイル名: hyokorevBM_jgd2024_h.par
# 系番号: 10
# 世界測地系の緯度/経度      変動前の標高(入力値)  変動後の標高(計算値)
# X            Y             標高                  標高                  コメント
# m            m             m                     m
# 行末に「-9999.」がある行は、補正されなかった行です。
#-------------------------------------------------------------------------------
29943.1612 -31362.5136 35.8630 35.6188 
29818.6745 -31181.8615 36.4200 36.1755 
29703.3418 -31035.6465 38.9790 38.7343 
29626.7651 -30685.5119 36.5260 36.2808 
29583.1122 -30527.4110 36.9740 36.7286 
29544.4834 -30338.1577 37.5120 37.2663 
29576.2043 -30127.0003 37.5400 37.2940 
29621.5803 -29938.5597 38.3910 38.1447 
29634.4749 -29765.7038 43.5710 43.3245 
29665.0022 -29571.6946 38.6780 38.4312 
29660.6593 -29394.1192 39.3850 39.1379 
29627.2521 -29211.2213 39.6930 39.4457 
29589.7910 -29010.3739 39.9360 39.6884 
29552.5392 -28797.8203 40.4410 40.1932 
29548.0560 -28547.0527 41.1210 40.8729 
29577.2915 -28316.2399 41.4470 41.1986 
29603.4995 -28129.1665 41.8640 41.6154 
29635.0737 -27894.3935 42.1920 41.9431 
29642.6748 -27742.1190 41.8520 41.6029 
29620.4151 -27657.4191 42.0310 41.7818 
29639.0018 -27436.2535 45.1330 44.8836 
29617.1310 -27249.4864 44.6240 44.3744 
29604.9935 -27049.7891 44.8610 44.6112 
29581.6820 -26851.7301 45.4040 45.1540 
29540.3210 -26679.7094 45.5830 45.3328 
29492.2183 -26546.9722 45.5660 45.3156 
29407.8188 -26373.6525 45.9520 45.7014 
29322.4924 -26184.5030 46.4690 46.2182 
29239.3893 -26009.2486 46.5910 46.3401 
29154.5887 -25821.4841 47.0240 46.7729 
29068.6520 -25638.1593 47.6460 47.3948 
28982.7484 -25467.2067 47.3130 47.0616 
28878.4823 -25275.1313 48.2120 47.9604 
28804.8975 -25141.3698 48.4030 48.1513 
28681.4144 -24953.8405 48.7120 48.4602 
28557.4565 -24834.1889 48.8210 48.5691 
28464.4176 -24754.4050 49.1710 48.9191 
28333.1210 -24652.9158 49.5620 49.3100 
28160.6846 -24516.5080 50.6720 50.4199 
28088.7642 -24163.2127 49.4280 49.1756 
27972.5336 -23940.6194 49.2720 49.0195 
27882.1647 -23759.9131 49.7870 49.5344 
27815.0944 -23652.6590 50.3220 50.0693 
27712.9757 -23538.9702 50.3930 50.1403 
27606.7066 -23457.9094 50.6040 50.3512 
27470.4482 -23384.3494 53.4750 53.2222 
27297.2864 -23267.2294 51.1330 50.8801 
27135.8072 -23167.2462 51.9930 51.7401 
26964.3256 -23058.8914 52.6070 52.3540 
26792.2250 -22954.9155 53.0200 52.7670 
26614.7254 -22848.0072 53.5560 53.3031 
26449.9123 -22761.6386 54.1410 53.8881 
26346.6832 -22707.5772 54.0820 53.8291 
26049.2436 -22479.8595 55.1850 54.9322 
25895.7744 -22235.0206 55.8550 55.6022 
25807.7620 -21988.7813 56.7960 56.5433 
25794.3398 -21842.3354 56.8150 56.5623 
25740.7009 -21649.7543 57.0360 56.7832 
25684.1849 -21484.1972 58.1310 57.8782 
25592.5195 -21322.1238 58.7220 58.4691 
25461.6310 -21173.5002 58.6100 58.3571 
